Ticker,Volume,Volume Weighted Avg,Open,Close,High,Low,Timestamp,No. Transactions
EQT,1711769.0,43.2302,43.41,43.03,43.76,42.91,1669410000000,19518
EFX,460165.0,199.6576,197.73,200.43,200.99,197.1,1669410000000,10585
EQIX,130537.0,673.1908,672.07,674.66,674.86,670.11,1669410000000,6434
EQR,801245.0,63.3341,62.95,63.53,63.53,62.7,1669410000000,9364
ESS,132885.0,212.6711,213.12,212.61,213.72,211.82,1669410000000,5295
EL,1076021.0,219.5246,220.71,220.01,221.7294,217.37,1669410000000,15519
ETSY,785031.0,119.3316,118.39,120.31,120.61,117.49,1669410000000,15366
RE,95277.0,334.3971,331.4,334.42,336.035,331.09,1669410000000,3876
EVRG,1134566.0,58.8987,58.77,59.01,59.2244,58.35,1669410000000,11272
ES,763196.0,82.4302,82.52,82.44,82.89,82.1517,1669410000000,9039
EXC,3381201.0,40.124,39.98,40.07,40.27,39.94,1669410000000,30292
EXPE,966751.0,102.257,100.34,101.5,103.56,100.1,1669410000000,20184
EXPD,1428000.0,112.624,113.61,112.77,114.23,111.18,1669410000000,18841
EXR,362399.0,155.7951,157.32,155.62,158.3469,154.76,1669410000000,7899
XOM,7136013.0,113.8526,113.88,113.21,114.61,113.06,1669410000000,68438
FFIV,224386.0,155.3224,155.74,155.27,156.44,154.83,1669410000000,5298
FDS,75220.0,454.8002,452.47,455.58,455.675,452.47,1669410000000,4116
FAST,900281.0,52.3715,52.23,52.33,52.51,52.21,1669410000000,9787
FRT,181580.0,110.1761,109.83,110.25,110.355,109.54,1669410000000,5254
FDX,445291.0,176.6227,177.25,176.7,177.77,176.01,1669410000000,9288
FITB,1016427.0,36.5197,36.54,36.48,36.665,36.38,1669410000000,11010
FRC,455883.0,124.342,124.21,124.21,124.73,123.425,1669410000000,8243
FE,669663.0,39.7968,39.6,39.86,39.87,39.6,1669410000000,8892
FIS,2400022.0,65.8234,65.99,65.98,66.18,65.29,1669410000000,23599
FISV,1446651.0,102.7548,102.08,102.49,103.48,101.87,1669410000000,18352
FLT,228237.0,192.0885,190.32,191.68,193.63,189.425,1669410000000,6522
FMC,172153.0,129.0158,128.16,129.18,129.56,128.01,1669410000000,5638
F,12980862.0,14.0435,13.96,14.08,14.11,13.9,1669410000000,37012
FTNT,2117775.0,53.1249,53.08,52.91,53.48,52.87,1669410000000,19037
FTV,518812.0,68.1016,68.12,68.07,68.38,67.855,1669410000000,6317
FBHS,549302.0,66.897,66.1,66.94,67.18,65.95,1669410000000,11120
FOXA,901106.0,31.2003,31.11,31.29,31.31,30.965,1669410000000,11595
FOX,469678.0,29.3803,29.19,29.45,29.49,29.17,1669410000000,6238
BEN,776005.0,26.6974,26.48,26.77,26.82,26.46,1669410000000,8699
FCX,5219807.0,37.3616,37.88,37.15,38.04,37.085,1669410000000,43619
GRMN,261868.0,91.1241,91.06,91.08,91.53,90.92,1669410000000,5649
IT,337531.0,342.9996,344.3,342.57,346.26,342.0,1669410000000,7523
GEN,2808669.0,23.0715,23.04,23.11,23.215,22.95,1669410000000,20126
GNRC,864433.0,105.6125,106.31,105.25,106.74,104.68,1669410000000,12110
GD,368383.0,253.3353,253.48,253.77,253.98,252.45,1669410000000,10937
GE,1894075.0,88.0739,87.7,88.14,88.38,87.35,1669410000000,23177
GIS,1319937.0,82.9787,83.25,82.97,83.6,82.64,1669410000000,18643
GM,4615339.0,40.2667,39.81,40.46,40.47,39.81,1669410000000,33494
GPC,404365.0,185.414,184.52,186.1,186.11,183.97,1669410000000,9521
GILD,4028739.0,85.9563,85.04,86.26,86.41,84.76,1669410000000,38986
GL,170751.0,117.3432,117.0,117.3,117.91,117.0,1669410000000,5021
GPN,967836.0,101.6428,100.29,101.7,102.42,100.2317,1669410000000,14195
GS,1129250.0,387.6359,385.76,388.86,389.44,385.18,1669410000000,25076
HAL,2930404.0,36.5112,36.37,36.36,36.79,36.12,1669410000000,25579
HIG,481362.0,75.9024,75.97,75.97,76.09,75.685,1669410000000,7718
HAS,509859.0,62.3138,62.17,62.1,62.72,62.08,1669410000000,10423
HCA,385133.0,239.72,238.97,239.37,241.23,237.41,1669410000000,9419
PEAK,1308942.0,25.3746,25.29,25.46,25.5,25.255,1669410000000,10173
HSIC,382742.0,81.4065,80.64,81.44,81.9,80.205,1669410000000,8380
HSY,281755.0,233.0324,233.22,233.76,233.93,231.94,1669410000000,9020
HES,642976.0,145.2455,145.49,144.76,146.2,144.0898,1669410000000,14859
HPE,5567625.0,15.8765,15.8,15.83,15.99,15.73,1669410000000,16192
HLT,977633.0,138.5918,138.3,138.25,139.3,137.09,1669410000000,19510
HOLX,450666.0,74.5666,74.52,74.93,74.94,73.83,1669410000000,8635
HD,3393533.0,326.8038,322.89,326.38,329.075,321.9,1669410000000,61104
HON,1119900.0,220.1275,217.74,220.05,220.96,217.74,1669410000000,21066
HRL,783971.0,49.2517,49.25,49.41,49.41,48.975,1669410000000,10277
HST,1434219.0,18.3749,18.23,18.46,18.47,18.17,1669410000000,9631
HWM,713942.0,38.0164,38.07,38.04,38.25,37.88,1669410000000,7858
HPQ,5959306.0,30.2406,29.8,30.15,30.74,29.71,1669410000000,42326
HUM,339402.0,541.9583,541.75,540.95,545.3,538.64,1669410000000,10335
HBAN,4746441.0,15.2664,15.16,15.24,15.39,15.155,1669410000000,18363
HII,115087.0,229.6058,229.36,230.36,230.46,228.4895,1669410000000,4035
IBM,2075156.0,148.6211,148.27,148.37,149.49,148.101,1669410000000,22399
IEX,132039.0,236.8746,234.69,236.66,237.775,233.71,1669410000000,5037
